ID_MOVIMENTACAO_AGORA;COD_TAG_PATRIMONIO;DESCRICAO_ITEM;CATEGORIA_BEM;VALOR_AVALIADO;UNIDADE_ORIGEM;UNIDADE_DESTINO;STATUS_SOLICITACAO;DATA_REGISTRO_AGORA;OPERADOR_RESPONSAVEL
AGORA-1011;PAT-200111;Item Ágora Maquinário e Ferramentas #11;Maquinário e Ferramentas;16097.19;Filial - Rio de Janeiro;Filial - Curitiba;Concluida;2026-07-01 11:30:00;Juliana Paes (TI)
AGORA-1012;PAT-200112;Item Ágora Mobiliário e Escritório #12;Mobiliário e Escritório;23970.51;Filial - Curitiba;Centro de Distribuição - Campinas;Pendente;2026-07-15 10:30:00;Ana Paula (Patrimônio)
AGORA-1013;PAT-200113;Item Ágora Equipamentos de TI #13;Equipamentos de TI;20750.68;Centro de Distribuição - Campinas;Filial - Salvador;Concluida;2026-07-27 08:30:00;Ana Paula (Patrimônio)
AGORA-1014;PAT-200114;Item Ágora Maquinário e Ferramentas #14;Maquinário e Ferramentas;13148.2;Matriz - São Paulo;Filial - Salvador;Em Transito;2026-07-19 15:30:00;Ana Paula (Patrimônio)
AGORA-1015;PAT-200115;Item Ágora Mobiliário e Escritório #15;Mobiliário e Escritório;20760.19;Filial - Belo Horizonte;Filial - Salvador;Concluida;2026-07-14 10:30:00;Juliana Paes (TI)
AGORA-1016;PAT-200116;Item Ágora Maquinário e Ferramentas #16;Maquinário e Ferramentas;6204.19;Filial - Belo Horizonte;Filial - Curitiba;Concluida;2026-07-27 14:30:00;Marcos Viana (Logística)
AGORA-1017;PAT-200117;Item Ágora Veículos Corporativos #17;Veículos Corporativos;19365.92;Filial - Rio de Janeiro;Filial - Curitiba;Pendente;2026-07-08 12:30:00;Juliana Paes (TI)
AGORA-1018;PAT-200118;Item Ágora Mobiliário e Escritório #18;Mobiliário e Escritório;24371.18;Filial - Curitiba;Filial - Rio de Janeiro;Em Transito;2026-07-02 13:30:00;Marcos Viana (Logística)
AGORA-1019;PAT-200119;Item Ágora Maquinário e Ferramentas #19;Maquinário e Ferramentas;18061.71;Matriz - São Paulo;Centro de Distribuição - Campinas;Em Transito;2026-07-09 14:30:00;Juliana Paes (TI)
AGORA-1020;PAT-200120;Item Ágora Veículos Corporativos #20;Veículos Corporativos;13889.98;Centro de Distribuição - Campinas;Filial - Salvador;Em Transito;2026-07-17 13:30:00;Ana Paula (Patrimônio)
AGORA-1021;PAT-200121;Item Ágora Mobiliário e Escritório #21;Mobiliário e Escritório;19522.37;Centro de Distribuição - Campinas;Filial - Curitiba;Em Transito;2026-07-11 13:30:00;Juliana Paes (TI)
AGORA-1022;PAT-200122;Item Ágora Equipamentos de TI #22;Equipamentos de TI;14816.59;Filial - Salvador;Filial - Belo Horizonte;Concluida;2026-07-05 08:30:00;Ana Paula (Patrimônio)
AGORA-1023;PAT-200123;Item Ágora Veículos Corporativos #23;Veículos Corporativos;16509.28;Filial - Rio de Janeiro;Filial - Belo Horizonte;Concluida;2026-07-15 09:30:00;Ana Paula (Patrimônio)
AGORA-1024;PAT-200124;Item Ágora Equipamentos de TI #24;Equipamentos de TI;18467.27;Filial - Curitiba;Matriz - São Paulo;Concluida;2026-07-20 08:30:00;Marcos Viana (Logística)
AGORA-1025;PAT-200125;Item Ágora Veículos Corporativos #25;Veículos Corporativos;1395.95;Filial - Salvador;Filial - Belo Horizonte;Concluida;2026-07-07 13:30:00;Juliana Paes (TI)
AGORA-1026;PAT-200126;Item Ágora Veículos Corporativos #26;Veículos Corporativos;24100.11;Filial - Curitiba;Centro de Distribuição - Campinas;Pendente;2026-07-13 16:30:00;Ana Paula (Patrimônio)
AGORA-1027;PAT-200127;Item Ágora Veículos Corporativos #27;Veículos Corporativos;17828.43;Matriz - São Paulo;Filial - Salvador;Concluida;2026-07-22 14:30:00;Marcos Viana (Logística)
AGORA-1028;PAT-200128;Item Ágora Mobiliário e Escritório #28;Mobiliário e Escritório;2685.44;Filial - Rio de Janeiro;Filial - Curitiba;Pendente;2026-07-07 09:30:00;Ana Paula (Patrimônio)
AGORA-1029;PAT-200129;Item Ágora Mobiliário e Escritório #29;Mobiliário e Escritório;14784.96;Matriz - São Paulo;Filial - Rio de Janeiro;Concluida;2026-07-06 17:30:00;Marcos Viana (Logística)
AGORA-1030;PAT-200130;Item Ágora Mobiliário e Escritório #30;Mobiliário e Escritório;17626.3;Filial - Curitiba;Filial - Belo Horizonte;Concluida;2026-07-09 14:30:00;Marcos Viana (Logística)
AGORA-1031;PAT-200131;Item Ágora Veículos Corporativos #31;Veículos Corporativos;12576.54;Filial - Curitiba;Filial - Rio de Janeiro;Pendente;2026-07-17 11:30:00;Marcos Viana (Logística)
AGORA-1032;PAT-200132;Item Ágora Equipamentos de TI #32;Equipamentos de TI;11191.12;Matriz - São Paulo;Filial - Salvador;Concluida;2026-07-06 14:30:00;Marcos Viana (Logística)
AGORA-1033;PAT-200133;Item Ágora Equipamentos de TI #33;Equipamentos de TI;2511.74;Filial - Belo Horizonte;Filial - Curitiba;Concluida;2026-07-11 09:30:00;Juliana Paes (TI)
AGORA-1034;PAT-200134;Item Ágora Maquinário e Ferramentas #34;Maquinário e Ferramentas;14798.15;Matriz - São Paulo;Filial - Curitiba;Concluida;2026-07-03 12:30:00;Marcos Viana (Logística)
AGORA-1035;PAT-200135;Item Ágora Maquinário e Ferramentas #35;Maquinário e Ferramentas;24691.69;Filial - Curitiba;Centro de Distribuição - Campinas;Em Transito;2026-07-02 08:30:00;Marcos Viana (Logística)
AGORA-1036;PAT-200136;Item Ágora Equipamentos de TI #36;Equipamentos de TI;1522.25;Filial - Salvador;Centro de Distribuição - Campinas;Concluida;2026-07-09 12:30:00;Ana Paula (Patrimônio)
AGORA-1037;PAT-200137;Item Ágora Maquinário e Ferramentas #37;Maquinário e Ferramentas;19431.88;Matriz - São Paulo;Filial - Salvador;Concluida;2026-07-25 09:30:00;Juliana Paes (TI)
AGORA-1038;PAT-200138;Item Ágora Equipamentos de TI #38;Equipamentos de TI;9231.14;Filial - Rio de Janeiro;Filial - Curitiba;Concluida;2026-07-12 12:30:00;Ana Paula (Patrimônio)
AGORA-1039;PAT-200139;Item Ágora Mobiliário e Escritório #39;Mobiliário e Escritório;20596.03;Filial - Salvador;Filial - Curitiba;Concluida;2026-07-13 16:30:00;Juliana Paes (TI)
AGORA-1040;PAT-200140;Item Ágora Veículos Corporativos #40;Veículos Corporativos;7998.41;Filial - Rio de Janeiro;Matriz - São Paulo;Em Transito;2026-07-06 11:30:00;Juliana Paes (TI)
AGORA-1041;PAT-200141;Item Ágora Equipamentos de TI #41;Equipamentos de TI;10849.57;Filial - Salvador;Filial - Rio de Janeiro;Em Transito;2026-07-01 12:30:00;Ana Paula (Patrimônio)
AGORA-1042;PAT-200142;Item Ágora Veículos Corporativos #42;Veículos Corporativos;22589.97;Filial - Salvador;Matriz - São Paulo;Em Transito;2026-07-24 09:30:00;Juliana Paes (TI)
AGORA-1043;PAT-200143;Item Ágora Mobiliário e Escritório #43;Mobiliário e Escritório;8080.66;Filial - Salvador;Filial - Curitiba;Concluida;2026-07-11 11:30:00;Marcos Viana (Logística)
AGORA-1044;PAT-200144;Item Ágora Equipamentos de TI #44;Equipamentos de TI;23794.04;Matriz - São Paulo;Centro de Distribuição - Campinas;Concluida;2026-07-25 10:30:00;Juliana Paes (TI)
AGORA-1045;PAT-200145;Item Ágora Equipamentos de TI #45;Equipamentos de TI;21958.33;Filial - Belo Horizonte;Matriz - São Paulo;Em Transito;2026-07-16 09:30:00;Juliana Paes (TI)
AGORA-1046;PAT-200146;Item Ágora Maquinário e Ferramentas #46;Maquinário e Ferramentas;20875.1;Filial - Belo Horizonte;Matriz - São Paulo;Em Transito;2026-07-21 17:30:00;Juliana Paes (TI)
AGORA-1047;PAT-200147;Item Ágora Mobiliário e Escritório #47;Mobiliário e Escritório;13857.95;Filial - Belo Horizonte;Centro de Distribuição - Campinas;Concluida;2026-07-16 11:30:00;Marcos Viana (Logística)
AGORA-1048;PAT-200148;Item Ágora Equipamentos de TI #48;Equipamentos de TI;6814.17;Filial - Salvador;Centro de Distribuição - Campinas;Concluida;2026-07-12 09:30:00;Juliana Paes (TI)
AGORA-1049;PAT-200149;Item Ágora Maquinário e Ferramentas #49;Maquinário e Ferramentas;12228.04;Centro de Distribuição - Campinas;Filial - Rio de Janeiro;Pendente;2026-07-14 16:30:00;Marcos Viana (Logística)
AGORA-1050;PAT-200150;Item Ágora Maquinário e Ferramentas #50;Maquinário e Ferramentas;6998.51;Filial - Belo Horizonte;Filial - Salvador;Em Transito;2026-07-10 08:30:00;Marcos Viana (Logística)
